date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:30	18468/18468	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Dec%202021%2019:46:34%20GMT	https://barestostudio.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.4.8	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor/assets/lib/animations/animations.minb045.css	(from https://barestostudio.com/maesha-rifaldi/)
11:04:31	20715/20715	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2001:20:58%20GMT	https://barestostudio.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-includes/js/jquery/ui/core.min0028.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:32	3411/3411	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2001:20:58%20GMT	https://barestostudio.com/wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.1	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-includes/js/jquery/ui/mouse.min0028.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:33	10751/10751	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2001:20:58%20GMT	https://barestostudio.com/wp-includes/js/jquery/ui/slider.min.js?ver=1.13.1	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-includes/js/jquery/ui/slider.min0028.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:34	2540/2540	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Feb%202022%2001:14:11%20GMT	https://barestostudio.com/wp-includes/js/jquery/ui/progressbar.min.js?ver=1.13.1	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-includes/js/jquery/ui/progressbar.min0028.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:35	17331/17331	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2001:20:58%20GMT	https://barestostudio.com/wp-includes/js/jquery/ui/effect.min.js?ver=1.13.1	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-includes/js/jquery/ui/effect.min0028.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:36	32459/32459	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit//js/wdp_script.js?ver=2.7.6	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit/js/wdp_scriptd537.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:37	13120/13120	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit//js/libs/jquery.jPages.min.js?ver=0.7	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit/js/libs/jquery.jPages.minac14.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:38	5021/5021	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit//js/libs/jquery.textareaCounter.js?ver=2.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit/js/libs/jquery.textareaCounterd5f7.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:39	2162/2162	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit//js/libs/jquery.placeholder.min.js?ver=2.0.7	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit/js/libs/jquery.placeholder.min5d0a.js	(from https://barestostudio.com/maesha-rifaldi/)
